,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600883,博闻科技,0.12,91.71,,4.2,,2729.92,91.87,10派0.4,04-13
1,002176,江特电机,0.19,35.71,,7.24,,28130.44,42.58,10派0.2,04-13
2,601086,国芳集团,0.22,22.22,,9.17,,12092.0,31.68,,04-13
3,002307,北新路桥,0.09,28.57,,2.81,,5059.81,26.02,10转6,04-13
4,000630,铜陵有色,0.05,150.0,,3.24,,54881.67,204.35,10派0.2,04-13
5,002590,万安科技,0.27,0.0,,7.2,,12781.75,0.83,10派0.3,04-13
6,300736,百华悦邦,0.97,-16.38,,20.45,,3963.52,-16.12,10派6.8,04-13
7,600127,金健米业,0.02,8.92,,1.46,,1096.6,8.76,,04-13
8,300064,豫金刚石,0.19,6.68,,3.43,,23094.6,67.88,10派0.21,04-13
9,601116,三江购物,0.26,7.47,,6.73,,10868.18,7.49,10派2,04-13
10,000966,长源电力,-0.11,-130.49,,-3.61,,-12155.97,-130.48,,04-13
11,600303,曙光股份,0.47,370.0,,10.68,,31603.3,420.74,10派1.47,04-13
12,300217,东方电热,0.07,81.94,,4.51,,8335.75,81.76,10派0.1,04-13
13,300458,全志科技,0.05,-94.57,,0.85,,1733.04,-88.35,10派0.25,04-13
14,600173,卧龙地产,0.43,290.12,,17.46,,31482.91,289.91,10派1,04-13
15,600628,新世界,0.69,53.33,,10.75,,44829.51,77.39,10派2.1,04-13
16,300638,广和通,0.58,-13.43,,14.56,,4385.74,8.77,,04-13
17,300731,科创新源,0.98,18.07,,28.53,,6421.16,18.81,,04-13
18,600789,鲁抗医药,0.2,300.0,,6.0,,11423.67,292.54,10派0.3,04-13
19,300202,聚龙股份,0.11,-80.7,,3.3,,5886.8,-81.11,10派1,04-13
20,300535,达威股份,0.87,-25.32,,8.07,,5175.42,-10.49,,04-13
21,603488,展鹏科技,0.38,-19.15,,11.45,,7118.64,-1.88,,04-13
22,603918,金桥信息,0.2,25.0,,6.99,,3483.69,20.66,10派0.6,04-13
23,002191,劲嘉股份,0.43,-1.97,,11.63,,57441.12,0.65,10派3,04-13
24,300577,开润股份,1.11,-33.93,,19.98,,13340.76,58.81,,04-13
25,600080,金花股份,0.18,95.86,,4.88,,5346.28,95.84,10派0.3,04-13
26,002850,科达利,1.24,-44.14,,8.29,,16601.57,-28.65,10派3转5,04-13
27,603696,安记食品,0.34,0.0,,5.81,,4123.73,1.08,10派1.25转4,04-13
28,600853,龙建股份,0.26,375.27,,15.65,,13928.71,375.27,10派0.1,04-13
29,002135,东南网架,0.12,100.0,,3.68,,10358.33,110.86,10派0.12,04-13
30,600992,贵绳股份,0.09,5.48,,1.62,,2218.49,5.47,10派0.3,04-13
31,601368,绿城水务,0.47,20.38,,11.95,,34905.12,20.38,10派1.43,04-13
32,603338,浙江鼎力,1.73,60.19,,22.14,,28314.55,62.0,10派4转4,04-13
33,300725,药石科技,1.19,72.46,,22.84,,6717.92,86.01,10派2转5,04-13
34,600644,乐山电力,0.08,-79.74,,3.44,,4285.63,-79.73,,04-13
35,603917,合力科技,0.95,1.52,,17.54,,8176.5,4.35,10派1.5转4,04-13
36,002158,汉钟精机,0.43,36.36,,10.63,,22693.01,36.33,10派2.2,04-13
37,002472,双环传动,0.36,28.57,,7.84,,24260.11,30.61,10派0.6,04-13
38,600513,联环药业,0.25,-13.79,,8.29,,7054.73,12.53,10派0.75,04-13
39,603380,易德龙,0.68,0.0,,21.12,,9558.78,18.01,,04-13
40,000505,京粮控股,0.2,17.65,,5.01,,12960.32,76.81,,04-13
41,300517,海波重科,0.34,-31.8,,5.7,,3491.75,-19.45,10派0.31,04-13
42,603393,新天然气,1.65,5.77,,14.29,,26369.74,29.67,,04-13
43,000027,深圳能源,0.19,-44.12,,3.39,,74933.82,-44.37,10派0.8,04-13
44,600318,新力金融,-0.64,-195.52,,-27.29,,-30872.21,-289.8,,04-13
45,002915,中欣氟材,0.54,38.46,,15.64,,4704.21,43.58,10派1.5,04-13
46,002702,海欣食品,-0.06,-222.73,,-3.55,,-2728.19,-308.71,,04-13
47,002168,深圳惠程,-0.14,-255.56,,-7.97,,-10760.76,-241.75,,04-13
48,601019,山东出版,0.74,27.59,,23.51,,136482.88,30.32,10派2.2,04-13
49,002300,太阳电缆,0.19,-33.61,,7.61,,10184.12,-34.44,10派1.8,04-13
50,300220,金运激光,-0.34,-729.4,,-16.02,,-4234.51,-728.82,,04-13
51,002103,广博股份,0.2,-23.08,,6.45,,11181.29,-6.43,10派0.3,04-13
52,300643,万通智控,0.19,-26.92,,10.39,,3533.78,-9.55,,04-13
53,600070,浙江富润,0.32,14.29,,7.25,,16615.77,65.09,10派1,04-13
54,300120,经纬电材,0.26,232.9,,7.0,,5597.38,256.99,10派2转3,04-13
55,601311,骆驼股份,0.57,-6.56,,9.37,,48302.28,-6.27,10派0.57,04-13
56,600477,杭萧钢构,0.56,29.4,,30.53,,76801.64,71.14,10派1.7送3,04-13
57,300368,汇金股份,-0.3,-461.83,,-16.57,,-16550.22,-461.86,,04-13
58,603199,九华旅游,0.75,11.94,,8.37,,8288.8,11.94,10派1.5,04-13
59,600167,联美控股,1.16,12.62,,17.84,,92212.38,31.93,10派2.6转10,04-13
60,600853,龙建股份,0.26,375.27,,15.65,,13928.71,375.27,10派0.1,04-13
61,002135,东南网架,0.12,100.0,,3.68,,10358.33,110.86,10派0.12,04-13
62,600992,贵绳股份,0.09,5.48,,1.62,,2218.49,5.47,10派0.3,04-13
63,601368,绿城水务,0.47,20.38,,11.95,,34905.12,20.38,10派1.43,04-13
64,600644,乐山电力,0.08,-79.74,,3.44,,4285.63,-79.73,,04-13
65,300623,捷捷微电,1.64,-1.2,,14.29,,14414.91,23.81,10派5转9,04-12
66,600079,人福医药,1.53,142.86,,17.43,,206871.96,148.52,10派1.6,04-12
67,600325,华发股份,0.77,-11.49,,12.65,,162037.63,59.11,10派3,04-12
68,600479,千金药业,0.6,39.02,,11.47,,20775.83,39.04,10派3转2,04-12
69,300541,先进数通,0.36,-40.98,,5.87,,4293.01,-27.86,,04-12
70,600848,上海临港,0.37,-7.5,,6.63,,40976.47,1.59,10派1.2,04-12
71,002489,浙江永强,0.04,33.33,,2.42,,7824.66,28.38,10派0.1,04-12
72,603268,松发股份,0.52,18.18,,7.77,,4574.72,16.97,10派1.6转4,04-12
73,000878,云南铜业,0.16,11.53,,4.06,,22746.91,11.82,,04-12
74,600677,航天通信,0.19,280.0,,3.11,,10026.51,294.46,10派0.7,04-12
75,000407,胜利股份,0.07,-120.0,,2.9,,6230.25,-121.29,,04-12
76,600505,西昌电力,0.11,-26.42,,3.94,,4123.07,-26.42,10派0.35,04-12
77,002653,海思科,0.22,-47.62,,11.2,,23755.32,-47.53,10派2.8,04-12
78,600512,腾达建设,0.09,28.57,,3.06,,14357.95,69.97,10派0.4,04-12
79,000859,国风塑业,0.08,228.23,,4.02,,6022.78,228.08,10派0.1,04-12
80,002085,万丰奥威,0.41,-22.64,,15.96,,90056.33,-5.99,10派3,04-12
81,600933,爱柯迪,0.65,-5.8,,22.06,,46552.77,-3.61,,04-12
82,002205,国统股份,0.14,19.25,,1.72,,1590.3,19.31,10派0.42,04-12
83,600409,三友化工,0.97,134.08,,22.31,,188907.71,147.63,10派2.75,04-12
84,300330,华虹计通,0.04,-123.53,,1.55,,594.91,-120.55,,04-12
85,000682,东方电子,0.06,6.22,,3.77,,6351.77,6.35,,04-12
86,002484,江海股份,0.23,-11.8,,6.26,,19002.86,27.5,10派0.8,04-12
87,000736,中交地产,2.08,5100.0,,21.27,,61716.52,5100.56,10派5.2送5,04-12
88,002635,安洁科技,0.61,-39.0,,9.72,,39148.01,1.13,10派1,04-12
89,002840,华统股份,0.68,-1.16,,10.78,,11845.45,28.5,,04-12
90,600800,天津磁卡,-0.1,-433.33,,-67.25,,-5952.19,-407.39,,04-12
91,603738,泰晶科技,0.57,-47.71,,11.46,,6453.96,9.57,10派2.3转4,04-12
92,600156,华升股份,-0.22,-1012.29,,-13.05,,-8656.95,-1013.23,,04-12
93,603838,四通股份,0.16,-27.27,,6.25,,4177.79,-30.16,,04-12
94,600864,哈投股份,0.17,-29.17,,2.64,,35819.35,4.57,10派1,04-12
95,300278,华昌达,0.11,-47.64,,3.83,,6099.66,-47.63,,04-12
96,000710,贝瑞基因,0.92,-3423.7,,18.49,,23274.96,-5660.29,,04-12
97,002560,通达股份,0.03,-85.0,,0.8,,1202.68,-85.63,10派0.2,04-12
98,300630,普利制药,0.86,13.16,,16.59,,9840.44,41.02,,04-12
99,603386,广东骏亚,0.4,0.0,,17.67,,6562.26,8.58,,04-12
100,002045,国光电器,0.31,121.43,,9.42,,13077.9,116.44,10派0.8,04-12
101,603869,北部湾旅,0.77,13.24,,7.48,,26956.12,58.44,10派2.5,04-12
102,000538,云南白药,3.02,7.86,,18.55,,314498.14,7.71,10派15,04-12
103,000617,中油资本,0.76,0.0,,9.97,,684254.04,23.61,10派2.28,04-12
104,603008,喜临门,0.74,21.31,,11.09,,28359.63,39.18,10派0.5,04-12
105,603131,上海沪工,0.34,-56.96,,10.79,,6844.02,-1.18,10派1.1,04-12
106,002734,利民股份,0.83,0.0,,8.21,,13732.36,21.53,10派5转7,04-12
107,002358,森源电气,0.48,23.08,,9.49,,44672.48,35.14,10派1.4,04-12
108,603499,翔港科技,0.58,-4.09,,14.56,,4583.2,1.24,,04-12
109,600388,龙净环保,0.68,9.68,,16.92,,72432.66,9.1,10派2.1,04-12
110,000655,*ST金岭,-0.53,-43.81,,-12.9,,-31629.35,-43.78,,04-12
111,603330,上海天洋,0.53,-55.46,,5.43,,3037.58,-43.33,,04-12
112,300662,科锐国际,0.47,2.17,,16.2,,7433.87,20.78,,04-12
113,600242,中昌数据,0.28,180.0,,7.63,,11857.33,250.09,,04-12
114,600312,平高电气,0.46,-50.03,,7.11,,63051.75,-48.31,10派1.4,04-12
115,300225,金力泰,0.1,-32.21,,5.39,,4735.49,-32.58,10派0.4,04-12
116,300308,中际旭创,0.5,900.0,,7.96,,16150.54,1506.36,10派0.38,04-12
117,300617,安靠智电,1.22,-15.7,,10.66,,7980.24,9.95,10派5转5,04-12
118,600054,黄山旅游,0.55,17.02,,10.14,,41406.05,17.6,10派2.4,04-12
119,600734,实达集团,0.3,-19.85,,6.67,,18670.85,1.61,,04-12
120,600242,中昌数据,0.28,180.0,,7.63,,11857.33,250.09,,04-12
121,603330,上海天洋,0.53,-55.46,,5.43,,3037.58,-43.33,10派2.58转3,04-12
122,600312,平高电气,0.46,-50.03,,7.11,,63051.75,-48.31,10派1.4,04-12
123,300225,金力泰,0.1,-32.21,,5.39,,4735.49,-32.58,10派0.4,04-12
124,300308,中际旭创,0.5,900.0,,7.96,,16150.54,1506.36,10派0.38,04-12
